brand,model,launch_year,rating,popularity,hits,success_rate
Apple,iPhone 12,2020,4.6,88,100000000,92
Apple,iPhone 13,2021,4.8,94,120000000,95
Apple,iPhone 14,2022,4.6,90,90000000,89
Apple,iPhone 15,2023,4.7,96,110000000,94


Samsung,Galaxy S21,2021,4.4,82,25000000,86
Samsung,Galaxy S22,2022,4.4,84,27000000,87
Samsung,Galaxy S23,2023,4.6,90,29400000,92
Samsung,Galaxy S24,2024,4.7,94,37000000,95
Samsung,Galaxy S25,2025,4.8,96,15000000,93

OnePlus,OnePlus 9,2021,4.3,76,12000000,84
OnePlus,OnePlus 10,2022,4.2,74,9500000,82
OnePlus,OnePlus 11,2023,4.4,81,15000000,86
OnePlus,OnePlus 12,2024,4.6,88,18000000,90
OnePlus,OnePlus 13,2025,4.7,92,5000000,88

Xiaomi,Mi 11,2021,4.3,72,13000000,83
Xiaomi,Mi 12,2022,4.4,75,15000000,85
Xiaomi,Mi 13,2023,4.5,80,17000000,88
Xiaomi,Mi 14,2024,4.6,84,19000000,91
Xiaomi,Mi 15,2025,4.6,87,6000000,89

Oppo,Reno 6,2021,4.2,70,9000000,81
Oppo,Reno 7,2022,4.3,74,11000000,84
Oppo,Reno 8,2023,4.4,78,13000000,86
Oppo,Reno 9,2024,4.5,82,15000000,89
Oppo,Reno 10,2025,4.6,85,5000000,87
